	link	company	job_title	address	employment_type	seniority	min_experience	job_category	salary_low	salary_high	salary_time	role_description	job_requirements	skills
0	https://www.mycareersfuture.sg/job/data-scientist-ntuc-enterprise-nexus-co-operative-e209cb2f6b20295f336c7c90221dfbb3	NTUC ENTERPRISE NEXUS CO-OPERATIVE LIMITED	Data Scientist		Full Time	Executive	4 years exp	Information Technology	$3,500	to$8,000	Monthly	"COMPANY DESCRIPTION
NTUC Enterprise Co-operative Limited is the holding entity and single largest shareholder of the NTUC group of Social Enterprises. We aim to create a greater social force to do good by harnessing the capabilities of the social enterprises to meet pressing social needs in areas like health and eldercare, childcare, daily essentials, cooked food and financial services. Serving over two million customers, NTUC Enterprise wants to enable and empower all in Singapore to live better and more meaningful lives.
The NTUC Enterprise Centre of Excellence for Data, Digitalisation and Technology leads the transformation of the NTUC Social Enterprises by leveraging digital technologies to become more nimble, adaptable and innovative in today’s digital age. The NTUC Enterprise Centre of Excellence for Data, Digitalisation and Technology has been registered as NTUC Enterprise Nexus, a wholly owned subsidiary of NTUC Enterprise.
RESPONSIBILITIES
The rapid adoption of technology and mobile devices have contributed to vast new flows of information which are larger in volume, faster in velocity, diverse in variety, and requires veracity of the information for use. This new type of information composed of structured and unstructured data, broadly known as big data (and combined with tools and platforms), if utilized well, could radically improve business performance.
As the organization embarks to become a data-driven organization, significant decisions and value generation will be based on the data that we capture and deploy. The 7 Social Entities range in a broad scope of data from FairPrice (retail), Income (insurance), Unity (healthcare), FoodFare (F&B), Learning Hub (training), First Campus (ECE), Link (membership). The leaders of these groups are keen to utilize the data to drive growth, deliver customer service, and create personalized experiences.
We are seeking a strong candidate with advanced analytics experience to fill a data scientist position within the NTUC. The role will be responsible for executing analysis that delivers valuable insights, providing predictive analytic solution with high quality and make sure the deployment with sound business sense. In this role you will work with various industries and most diverse datasets in Singapore.
Responsibilities :
Define analytical strategy to address identified opportunities, including analytical approaches, data and technology requirements for different social enterprise
Recommend improvements using analytic in the area such as consumer marketing, churn management, supply chain management optimization, personalized search and recommendation etc.
Work with various teams to plan, identify and collect data from multiple systems to support the analytic
Working with data engineer team to build and automate of the data workflows such as extraction, transformation and load (ETL) to transform raw data for analytics purpose
Develop models and perform statistical analysis to solve various strategic business problems,
Communicate and present key analytical findings to senior management and/or other stakeholders with actionable recommendations.
Working with machine learning engineer team to deploy analytical/optimization solutions to drive growth
Work with other data scientists in the team to drive projects"	"Phd/Master in Statistics, Computer Science, Operations Research, Finance, Engineering
Deep understanding of statistical analysis, data mining or machine learning
Experience in working with large structured and unstructured data sets
Ability to think analytically and deliver results that drive business decision making
Team player to build strong business partnerships
Have competency in one or more of the following programming languages or tools : Python, R, Spark, Hive, Impala Pig or Scala
Experience or knowledge in AWS environment will be a plus
Ability to write production code will be an advantage
Prepared to take on new challenges and ad-hoc requests that need quick turn-around 
2 years of data analytics experience in retail/grocery industry preferred"	['Algorithms', 'Assay Development', 'Biochemistry', 'Biotechnology', 'Cell Biology', 'Cell Culture', 'Chemistry', 'Data Analysis', 'Drug Development', 'Drug Discovery', 'Lifesciences', 'Machine Learning', 'Matlab', 'Molecular Biology', 'Pharmaceutical Industry', 'Protein Chemistry', 'R&D', 'Research', 'Science', 'Simulations']
1	https://www.mycareersfuture.sg/job/data-scientist-oversea-chinese-banking-corporation-8cc20cb9c150a44eaeefc075f69bf3a0	OVERSEA-CHINESE BANKING CORPORATION LIMITED	Data Scientist	63 CHULIA STREET 049514	Permanent	Professional	6 years exp	Banking and Finance	$4,800	to$8,000	Monthly	"Develop data science solutions to support AML and Financial Crime Investigation activities in the organization.
Design analytical solutions and experiments.
Conduct data exploration, feature engineering, visualization and develop models.
Be a thought-leader and drive innovation within the organization."	"Degree in a quantitative subject (e.g. Computer Science, Statistics, Mathematics, Artificial Intelligence, Machine Learning or related field).
Minimum 5 years of working experience with AI, ML, Data Science or a related field.
Strong proficiency in at least one programming language. Experience with Python preferred.
Experience in applying machine learning techniques and designing algorithms that are scalable and production-grade.
Clear communicator, with the ability to articulate ideas with data.
Experience with operating in a corporate environment and stakeholder management.
Strong results driven personality with an innovative spirit.
Preferred:
Experience with network analysis techniques and in developing machine learning solution in the AML field would be a strong advantage.
Exposure to financial crime investigations and familiarity with existing and emerging criminal topologies would be advantageous, though not required.
 "	['Analysis', 'Business Analysis', 'Clinical Data Management', 'Clinical Trials', 'Data Analysis', 'Data Management', 'Databases', 'Earth Science', 'EDC', 'GCP', 'Information Management', 'Leadership', 'Management', 'Microsoft Office', 'Microsoft SQL Server', 'Oracle Clinical', 'Program Management', 'Project Management', 'Research', 'SQL']
2	https://www.mycareersfuture.sg/job/data-scientist-oversea-chinese-banking-corporation-6a109881bcdf199c002e12496f4c75df	OVERSEA-CHINESE BANKING CORPORATION LIMITED	Data Scientist	63 CHULIA STREET 049514	Permanent	Professional	6 years exp	Banking and Finance	$8,000	to$15,000	Monthly	"Develop data science solutions to support AML and Financial Crime Investigation activities in the organization.
Design analytical solutions and experiments.
Conduct data exploration, feature engineering, visualization and develop models.
Be a thought-leader and drive innovation within the organization."	"Degree in a quantitative subject (e.g. Computer Science, Statistics, Mathematics, Artificial Intelligence, Machine Learning or related field).
Minimum 5 years of working experience with AI, ML, Data Science or a related field.
Strong proficiency in at least one programming language. Experience with Python preferred.
Experience in applying machine learning techniques and designing algorithms that are scalable and production-grade.
Clear communicator, with the ability to articulate ideas with data.
Experience with operating in a corporate environment and stakeholder management.
Strong results driven personality with an innovative spirit.
Preferred:
Experience with network analysis techniques and in developing machine learning solution in the AML field would be a strong advantage.
Exposure to financial crime investigations and familiarity with existing and emerging criminal topologies would be advantageous, though not required.
 "	['Analysis', 'Business Analysis', 'Clinical Data Management', 'Clinical Trials', 'Data Analysis', 'Data Management', 'Databases', 'Earth Science', 'EDC', 'GCP', 'Information Management', 'Leadership', 'Management', 'Microsoft Office', 'Microsoft SQL Server', 'Oracle Clinical', 'Program Management', 'Project Management', 'Research', 'SQL']
3	https://www.mycareersfuture.sg/job/signal-processing-data-engineer-scientist-aryan-solutions-09f800207aae553234953bf9f1f82219	ARYAN SOLUTIONS PTE. LTD.	Signal Processing Data Engineer / Scientist		Permanent	Professional	2 years exp	Engineering, Healthcare / Pharmaceutical	$3,500	to$4,500	Monthly	"Job Responsibilities:
We are looking more for Data Engineer of more seniority in data analytics, with this current role:
Work with Operation Manager and Product Development Engineer and IT Project Manager to create and implement the product test plans/protocols to verify methods of data analytics possible.
Possible projects could be in optimizing accuracy of predictive algorithm through results from our clinical trial.
Maintain, develop and implement machine learning algorithms through methods including acoustic signal analysis, sensor array signal processing, biomedical signal detection and classification techniques, statistical data analysis, etc
Implement, review, test and verify software behaviour through recommending or justifying critical technical decisions in product design.
Contribute in discussions for various project activities, including product specification definition, risk analysis, schematic capture, PCB layout, design reviews, EMC design and design transfer to manufacturing.
Implementation of clinical test on patients for design verification and validation
 "	"Relevant years of experience required in Medical equipment or related research work.
Good knowledge in Technical product design
Good exposure in healthcare domain would be act as a plus.
  Interested candidates, please send over your resume to manoj.st@aryansearch.com or call at 65-67087429 Ext: 206 for a confidential discussion .
 "	['AutoCAD', 'C', 'C++', 'Engineering', 'Integration', 'Java', 'Linux', 'Management', 'Manufacturing', 'Matlab', 'Microsoft Office', 'Product Development', 'Program Management', 'Project Engineering', 'Project Management', 'Project Planning', 'Python', 'Software Development', 'Telecommunications', 'Testing']
4	https://www.mycareersfuture.sg/job/data-scientist-panasonic-asia-pacific-a19e1b45f8108c2367d59174ef3b1986	PANASONIC ASIA PACIFIC PTE. LTD.	Data Scientist	202 BEDOK SOUTH AVENUE 1 469332	Permanent	Executive, Junior Executive		Information Technology	$3,000	to$4,600	Monthly	"IT Consultant (Data Scientist)
The Role
IT Consultant (Data Scientist) reports to Senior Manager of Business Intelligence. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
  Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy."	"Desired Skills, Competencies and Personal Traits
Strong problem-solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Experience working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Degree in Business, Information Technology, Engineering or equivalent"	['Business Analysis', 'Business Intelligence', 'Change Management', 'Cloud Computing', 'Databases', 'Integration', 'IT Management', 'IT Strategy', 'ITIL', 'Java', 'JavaScript', 'Linux', 'Management', 'Microsoft SQL Server', 'MySQL', 'Project Management', 'Software Development', 'SQL', 'Windows Server', 'XML']
5	https://www.mycareersfuture.sg/job/data-scientist-niometrics-79730d9094e7f9dc14d2b7e382f3ae93	NIOMETRICS (PTE.) LTD.	Data Scientist	PARKVIEW SQUARE, 600 NORTH BRIDGE ROAD 188778	Permanent	Professional	2 years exp	Information Technology	$5,000	to$10,000	Monthly	"WHAT WE DO
Niometrics captures, organises and extracts insights from some of the biggest and most complicated datasets that our modern societies currently produce. We put a magnifying glass on the realities collectively constructed by billions of connected individuals and machines, making sense of how humanity is re-creating wholly new digital universes with bits and bytes – universes that need to be seen, interpreted and explained. From taking deep dives into digital behaviours, to exploring the most intimate interactions between network technology and user experiences, we do it all.
Our Data Science team consists of ambitious, creative and passionate individuals, united in the common goal of making a difference. With millions of users generating hundreds of TBs of data daily, our day-to-day job becomes an adventure of connecting digital signals with real-life habits to formulate granular audience insights – who they are, how they behave, and ultimately, how we can expect them to behave in the future. The action does not stop there – we also take pride in working with the latest high-end hardware and world-class software architecture. This means there are virtually no limits to the scope of future events we can model, giving us insights on not just people, but also the entire inter-connected ecosystem to which they belong.
We are perfectionists and we do not hide it. You will join a thrilling environment, implementing and deploying data science solutions that are both efficient and secure, setting the basis for a groundbreaking software platform for the long run.

YOUR ROLE AS DATA SCIENTIST
As a Data Scientist, you will work end-to-end, leading entire projects and owning their outcomes through their entire lifecycle. You will formulate hypotheses on structured and unstructured data, design experiments, draw meaningful conclusions and effectively communicate the results to business stakeholders. You will be part of a relentless team, curious to extract the highest value possible in the most effective way. You will put into action your machine learning skills, and together, we will build optimum algorithms for regression, classification, clustering, and information extraction."	"WHAT WE VALUE
BA/BS (or MA/MS) or equivalent experience in applied Data Science.
Proficiency in statistical packages and ML libraries for both big and not so big data (e.g. Python SciPy ecosystem, NLTK, Tensorflow or equivalent, Spark ML and MLlib, etc.)
In depth knowledge of cutting-edge machine learning algorithms, as well as the strengths and weaknesses of the different methods and algorithms on different applications.
Experience in Unix systems and scripting in bash.
Proficiency in code optimisation (knowledge of Cython or similar)"	['Active Directory', 'Cisco Technologies', 'Data Center', 'Disaster Recovery', 'Firewalls', 'Integration', 'Network Administration', 'Network Engineering', 'Network Security', 'Networking', 'Routers', 'Security', 'Servers', 'Switches', 'TCP/IP', 'Telecommunications', 'Troubleshooting', 'VPN', 'WAN', 'Windows Server']
6	https://www.mycareersfuture.sg/job/data-scientist-ntuc-enterprise-nexus-co-operative-9ffa2b5e0de70f428e840a73a6d2cefd	NTUC ENTERPRISE NEXUS CO-OPERATIVE LIMITED	Data Scientist		Full Time	Executive	2 years exp	Information Technology	$4,000	to$7,000	Monthly	"COMPANY DESCRIPTION
NTUC Enterprise Co-operative Limited is the holding entity and single largest shareholder of the NTUC group of Social Enterprises. We aim to create a greater social force to do good by harnessing the capabilities of the social enterprises to meet pressing social needs in areas like health and eldercare, childcare, daily essentials, cooked food and financial services. Serving over two million customers, NTUC Enterprise wants to enable and empower all in Singapore to live better and more meaningful lives.
The NTUC Enterprise Centre of Excellence for Data, Digitalisation and Technology leads the transformation of the NTUC Social Enterprises by leveraging digital technologies to become more nimble, adaptable and innovative in today’s digital age. The NTUC Enterprise Centre of Excellence for Data, Digitalisation and Technology has been registered as NTUC Enterprise Nexus, a wholly owned subsidiary of NTUC Enterprise.
RESPONSIBILITIES
The rapid adoption of technology and mobile devices have contributed to vast new flows of information which are larger in volume, faster in velocity, diverse in variety, and requires veracity of the information for use. This new type of information composed of structured and unstructured data, broadly known as big data (and combined with tools and platforms), if utilized well, could radically improve business performance.
As the organization embarks to become a data-driven organization, significant decisions and value generation will be based on the data that we capture and deploy. The 7 Social Entities range in a broad scope of data from FairPrice (retail), Income (insurance), Unity (healthcare), FoodFare (F&B), Learning Hub (training), First Campus (ECE), Link (membership). The leaders of these groups are keen to utilize the data to drive growth, deliver customer service, and create personalized experiences.
We are seeking a strong candidate with advanced analytics experience to fill a data scientist position within the NTUC. The role will be responsible for executing analysis that delivers valuable insights, providing predictive analytic solution with high quality and make sure the deployment with sound business sense. In this role you will work with various industries and most diverse datasets in Singapore.
Responsibilities :
Define analytical strategy to address identified opportunities, including analytical approaches, data and technology requirements for different social enterprise
Recommend improvements using analytic in the area such as consumer marketing, churn management, supply chain management optimization, personalized search and recommendation etc.
Work with various teams to plan, identify and collect data from multiple systems to support the analytic
Working with data engineer team to build and automate of the data workflows such as extraction, transformation and load (ETL) to transform raw data for analytics purpose
Develop models and perform statistical analysis to solve various strategic business problems,
Communicate and present key analytical findings to senior management and/or other stakeholders with actionable recommendations.
Working with machine learning engineer team to deploy analytical/optimization solutions to drive growth
Work with other data scientists in the team to drive projects"	"Phd/Master in Statistics, Computer Science, Operations Research, Finance, Engineering
Deep understanding of statistical analysis, data mining or machine learning
Experience in working with large structured and unstructured data sets
Ability to think analytically and deliver results that drive business decision making
Team player to build strong business partnerships
Have competency in one or more of the following programming languages or tools : Python, R, Spark, Hive, Impala Pig or Scala
Experience or knowledge in AWS environment will be a plus
Ability to write production code will be an advantage
Prepared to take on new challenges and ad-hoc requests that need quick turn-around 
2 years of data analytics experience in retail/grocery industry preferred"	['Agile Methodologies', 'Algorithms', 'Artificial Intelligence', 'C', 'C++', 'Cloud Computing', 'Computer Science', 'Distributed Systems', 'High Performance Computing', 'Java', 'Linux', 'Machine Learning', 'MPI', 'Parallel Computing', 'Parallel Programming', 'Programming', 'Python', 'Scientific Computing', 'Software Development', 'Software Engineering']
7	https://www.mycareersfuture.sg/job/senior-data-scientist-ntuc-enterprise-nexus-co-operative-73ef4988a85db1cc41e11c90f7502e73	NTUC ENTERPRISE NEXUS CO-OPERATIVE LIMITED	Senior Data Scientist		Full Time	Executive	3 years exp	Information Technology	$7,000	to$12,000	Monthly	"COMPANY DESCRIPTION
NTUC Enterprise Co-operative Limited is the holding entity and single largest shareholder of the NTUC group of Social Enterprises. We aim to create a greater social force to do good by harnessing the capabilities of the social enterprises to meet pressing social needs in areas like health and eldercare, childcare, daily essentials, cooked food and financial services. Serving over two million customers, NTUC Enterprise wants to enable and empower all in Singapore to live better and more meaningful lives.
The NTUC Enterprise Centre of Excellence for Data, Digitalisation and Technology leads the transformation of the NTUC Social Enterprises by leveraging digital technologies to become more nimble, adaptable and innovative in today’s digital age. The NTUC Enterprise Centre of Excellence for Data, Digitalisation and Technology has been registered as NTUC Enterprise Nexus, a wholly owned subsidiary of NTUC Enterprise.
RESPONSIBILITIES
The rapid adoption of technology and mobile devices have contributed to vast new flows of information which are larger in volume, faster in velocity, diverse in variety, and requires veracity of the information for use. This new type of information composed of structured and unstructured data, broadly known as big data (and combined with tools and platforms), if utilized well, could radically improve business performance.
As the organization embarks to become a data-driven organization, significant decisions and value generation will be based on the data that we capture and deploy. The 7 Social Entities range in a broad scope of data from FairPrice (retail), Income (insurance), Unity (healthcare), FoodFare (F&B), Learning Hub (training), First Campus (ECE), Link (membership). The leaders of these groups are keen to utilize the data to drive growth, deliver customer service, and create personalized experiences.
We are seeking a strong candidate with advanced analytics experience to fill a data scientist position within the NTUC. The role will be responsible for executing analysis that delivers valuable insights, providing predictive analytic solution with high quality and make sure the deployment with sound business sense. In this role you will work with various industries and most diverse datasets in Singapore.
Responsibilities :
Define analytical strategy to address identified opportunities, including analytical approaches, data and technology requirements for different social enterprise
Recommend improvements using analytic in the area such as consumer marketing, churn management, supply chain management optimization, personalized search and recommendation etc.
Work with various teams to plan, identify and collect data from multiple systems to support the analytic
Working with data engineer team to build and automate of the data workflows such as extraction, transformation and load (ETL) to transform raw data for analytics purpose
Develop models and perform statistical analysis to solve various strategic business problems,
Communicate and present key analytical findings to senior management and/or other stakeholders with actionable recommendations.
Working with machine learning engineer team to deploy analytical/optimization solutions to drive growth
Work with other data scientists in the team to drive projects"	"Phd/Master in Statistics, Computer Science, Operations Research, Finance, Engineering
Deep understanding of statistical analysis, data mining or machine learning
Experience in working with large structured and unstructured data sets
Ability to think analytically and deliver results that drive business decision making
Team player to build strong business partnerships
Have competency in one or more of the following programming languages or tools : Python, R, Spark, Hive, Impala Pig or Scala
Experience or knowledge in AWS environment will be a plus
Ability to write production code will be an advantage
Prepared to take on new challenges and ad-hoc requests that need quick turn-around 
2 years of data analytics experience in retail/grocery industry preferred"	['Agile Methodologies', 'Algorithms', 'Artificial Intelligence', 'C', 'C++', 'Cloud Computing', 'Computer Science', 'Distributed Systems', 'High Performance Computing', 'Java', 'Linux', 'Machine Learning', 'MPI', 'Parallel Computing', 'Parallel Programming', 'Programming', 'Python', 'Scientific Computing', 'Software Development', 'Software Engineering']
8	https://www.mycareersfuture.sg/job/data-senior-analyst-data-scientist-oracle-pl-sql-optimum-solutions-cf9aff8bf4ac0da353bff20aa83a59e3	OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD	Data Senior Analyst / Data Scientist- Oracle PL / SQL	PLAZA 8 @ CBP, 1 CHANGI BUSINESS PARK CRESCENT 486025	Full Time	Middle Management	6 years exp	Information Technology	$6,500	to$9,000	Monthly	"Optimum Solutions (Company Registration Number: 199700895N), is a full spectrum Software Solutions and Services Company. Software services from Optimum are designed to deliver Enterprise Client-Server/ Multi-tier and Web based solutions across the entire value chain, spanning on-site consulting services to turnkey software projects. We started our operations in March 1997.
Data Senior Analyst/Data Scientist- Oracle PL/SQL "	"Required skills : 
Good understanding and experience in of Software Development Life Cycle (SDLC) are necessary
Keep abreast of technology trends in Data Analysis and Data Mining
Strong conceptual and analytical skills – demonstrating outside-the-box problem solving skills
Strong Sql Skills- MUST
Strong Oracle Skills -MUST
Python Data Analysis using Pandas
Exposure to other Data Visualization Tool like Tableau Software etc
Key Responsibilities :
Managing master data, including creation, updates, and deletion from varied sources.
Provide quality assurance of imported data
Commissioning and decommissioning of data sets- good to have
Processing confidential data and information according to guidelines.
Helping develop reports and analysis.
Develop Solution to Slice and reshape data to aid Business decisions"	['Business Analysis', 'Business Intelligence', 'Business Process', 'Data Migration', 'ERP', 'Financials', 'Integration', 'OBIEE', 'Oracle', 'Oracle Applications', 'Oracle Discoverer', 'Oracle E-Business Suite', 'Oracle HR', 'Oracle Reports', 'PL/SQL', 'Pre-sales', 'Requirements Analysis', 'SQL', 'Supply Chain Management', 'Testing']
9	https://www.mycareersfuture.sg/job/data-scientist-information-technology-nomura-singapore-6c55063259300d52e56b00e4bc971bbc	NOMURA SINGAPORE LIMITED	Data Scientist - Information Technology	MARINA BAY FINANCIAL CENTRE, 10 MARINA BOULEVARD 018983	Full Time	Professional	7 years exp	Banking and Finance	$20,800	to$33,000	Monthly	"Nomura Overview  
Nomura is an Asia-based financial services group with an integrated global network spanning over 30 countries. By connecting markets East & West, Nomura services the needs of individuals, institutions, corporates and governments through its three business divisions: Retail, Asset Management, and Wholesale (Global Markets and Investment Banking). Founded in 1925, the firm practices disciplined entrepreneurship while building on a long tradition of serving clients with creative solutions and considered thought leadership.
Functional Overview  
Nomura Group has embarked on a Digital Transformation with the goal of automating business processes and creating Alpha opportunities. This is a significant Investment programme with a multi-year horizon, and is intended to make Nomura a Leader in this field.
A dedicated team of Data Scientists is being put in place in multiple locations with the goal of developing insight in existing and new data sets, that directly drives the creation of models and algorithms that can be used for automation and/or Alpha Generation.
The team is led by a Chief Digital Officer reporting into the head of Wholesale.
Data and Computing resources are readily available for the team.
Job Description  
Design algorithms, build models, and prototype solutions for multiple projects.
Work closely with infrastructure providers to translate prototypes into production solutions.
Use machine learning and large-scale data mining techniques to discover and identify actionable patterns in data and develop hypotheses and models
Design hypothesis tests, oversee execution, and perform rigorous statistical evaluation of the results to produce actionable insights
Manage stakeholders and guide them in unlocking the value in their data
Use a scientific method and strive for positive results at all times, balanced with working in an ‘Agile’ way to achieve rapid turnaround."	"Key Experience & Skills  
Strong academic background with a Masters in Computer Science, Mathematics or other quantitative fields
Hands-on experience in the research, design and evaluation of machine learning approaches (regression, clustering, SVM, neural networks and dimensionality reduction techniques) to solve real world problems.
KDB in memory relational database experience is a must
Experience with building and normalizing data
Proficiency in Python; with familiarity in ML packages such as Tensorflow, PyTorch etc.
Hands-on experience in Big Data analysis platform such as Apache Spark and experience of semantic queries and Graph data models
Ability to write clean, scalable, production-ready code.
Ability to communicate technical concepts and results to a non-technical audience and a keen interest in understanding business requirements
Understanding of Equities, Fixed Income, FX and Commodities products is preferred.
Inquisitive nature with an eagerness to investigate and fully understand products, processes and issues.
Regional Disclaimers / Diversity Statement  
Nomura is committed to an employment policy of equal opportunities, and is fundamentally opposed to any less favourable treatment accorded to existing or potential members of staff on the grounds of race, creed, colour, nationality, disability, marital status, pregnancy, gender or sexual orientation.
 "	['Access', 'Business Analysis', 'Business Intelligence', 'Data Analysis', 'Database Design', 'Databases', 'HTML', 'Integration', 'Management', 'Microsoft Excel', 'Microsoft SQL Server', 'Process Improvement', 'Program Management', 'Project Management', 'SDLC', 'SharePoint', 'SQL', 'T-SQL', 'Visio', 'Windows']
